,0
0,1446780
1,1172470
2,648800
3,1880360
4,578080
5,1174180
6,1506830
7,1144200
8,271590
9,1604030
10,1222670
11,1551360
12,1426210
13,359550
14,289070
15,730
16,413150
17,252490
18,1085660
19,1569040
20,814380
21,1462040
22,1593500
23,1245620
24,1216060
25,108600
26,242760
27,582010
28,381210
29,281990
30,960170
31,632360
32,346110
33,236390
34,255710
35,740130
36,268910
37,389730
38,1172620
39,1449850
40,1824220
41,534380
42,227300
43,1286680
44,1091500
45,1145360
46,739630
47,774171
48,502500
49,1049590
50,230410
51,1293830
52,322330
53,812140
54,779340
55,1055810
56,1244460
57,394360
58,294100
59,728880
60,250900
61,1158310
62,526870
63,477160
64,1435790
65,105600
66,1118010
67,546560
68,292030
69,892970
70,1644960
71,489830
72,1761390
73,518790
74,261550
75,1477590
76,1692250
77,1259420
78,1825750
79,880940
80,493520
81,703080
82,872410
83,286160
84,646570
85,613100
86,548430
87,264710
88,601150
89,1151640
90,1235140
91,1046480
92,367520
93,435150
94,594570
95,835570
96,1594940
97,552990
98,1384160
99,275850
100,924970
101,977950
102,251570
103,1451940
104,1621690
105,550
106,1203220
107,813780
108,680420
109,1490890
110,1256670
111,1222140
112,239140
113,1196590
114,223750
115,361420
116,582160
117,699130
118,1117850
119,1341290
120,1466860
121,868270
122,1607890
123,920210
124,985810
125,377160
126,431960
127,588650
128,1659040
129,285900
130,1475810
131,1135690
132,1237970
133,2052630
134,312660
135,218620
136,1057090
137,323190
138,719040
139,1850570
140,1635450
141,1092790
142,782330
143,1369630
144,379430
145,306130
146,570
147,1142710
148,1843020
149,397540
150,1147560
151,1217060
152,1089090
153,457140
154,686810
155,1913711
156,1517290
157,1238810
158,16900
159,412020
160,805550
161,1361510
162,1250410
163,1958170
164,1296610
165,219990
166,1253920
167,1608290
168,1817490
169,787480
170,848450
171,1721470
172,440
173,962130
174,1703340
175,1113410
176,1445990
177,851850
178,393380
179,1235733
180,1172380
181,236850
182,1150690
183,1222700
184,460930
185,1113560
186,311210
187,262060
188,958260
189,492720
190,1151340
191,107410
192,393080
193,860510
194,552520
195,568220
196,246900
197,1656330
198,349040
199,363150
200,208650
201,594650
202,1290000
203,535930
204,476600
205,364360
206,947510
207,952060
208,1184370
209,646910
210,1029690
211,1577120
212,815370
213,453480
214,1889490
215,976730
216,270880
217,1088850
218,1238840
219,444200
220,1794680
221,1739010
222,1832640
223,1426300
224,960090
225,933110
226,620980
227,1562700
228,1382330
229,1498570
230,1465360
231,8930
232,632470
233,1255630
234,645402
235,493340
236,1030840
237,1295510
238,1277400
239,1190000
240,1016920
241,4000
242,1972440
243,244210
244,1338770
245,898750
246,1235731
247,1958173
248,466560
249,1611910
250,1227890
251,1084600
252,1235721
253,761890
254,1740720
255,310950
256,1782170
257,1341200
258,794260
259,221100
260,1328670
261,1966010
262,581320
263,750920
264,1509960
265,1062090
266,269210
267,867210
268,527230
269,638970
270,753640
271,1594320
272,678960
273,292730
274,1025960
275,1113000
276,678950
277,427520
278,1569190
279,268500
280,1948280
281,927380
282,1129580
283,433340
284,620
285,1222680
286,1568590
287,1332010
288,418370
289,386940
290,1209460
291,440900
292,233450
293,1392840
294,1410710
295,1817940
296,8500
297,508440
298,883710
299,874260
300,780290
301,1977570
302,553420
303,1621310
304,1210320
305,233860
306,1458150
307,1522090
308,1549180
309,1468720
310,1966900
311,653530
312,553280
313,637650
314,775500
315,644930
316,1235734
317,1080550
318,284160
319,1785250
320,1071870
321,1238860
322,865360
323,431730
324,460950
325,214950
326,1274570
327,356190
328,365360
