,0
0,1446780
1,1172470
2,648800
3,1880360
4,578080
5,1506830
6,1174180
7,1144200
8,271590
9,1604030
10,1222670
11,1551360
12,1426210
13,359550
14,289070
15,413150
16,252490
17,1085660
18,1245620
19,814380
20,1593500
21,1462040
22,1569040
23,730
24,1216060
25,242760
26,108600
27,381210
28,582010
29,281990
30,632360
31,960170
32,346110
33,236390
34,740130
35,389730
36,268910
37,534380
38,1172620
39,255710
40,1824220
41,1286680
42,227300
43,1449850
44,1091500
45,1145360
46,739630
47,502500
48,774171
49,1049590
50,812140
51,322330
52,230410
53,779340
54,1244460
55,1293830
56,1055810
57,394360
58,250900
59,1158310
60,728880
61,294100
62,1435790
63,526870
64,105600
65,1118010
66,892970
67,477160
68,546560
69,1692250
70,292030
71,1644960
72,703080
73,489830
74,1761390
75,493520
76,872410
77,1477590
78,518790
79,261550
80,880940
81,1825750
82,613100
83,1259420
84,264710
85,1235140
86,646570
87,601150
88,548430
89,286160
90,1046480
91,367520
92,435150
93,1151640
94,1594940
95,1384160
96,594570
97,552990
98,835570
99,275850
100,1203220
101,924970
102,977950
103,251570
104,550
105,1451940
106,361420
107,1256670
108,1196590
109,1621690
110,1490890
111,813780
112,582160
113,1341290
114,223750
115,1222140
116,985810
117,1466860
118,239140
119,680420
120,1117850
121,699130
122,868270
123,1607890
124,377160
125,431960
126,920210
127,588650
128,1135690
129,285900
130,1659040
131,1635450
132,1057090
133,312660
134,1237970
135,719040
136,2052630
137,1475810
138,323190
139,218620
140,782330
141,1092790
142,1850570
143,570
144,306130
145,1142710
146,1369630
147,379430
148,1089090
149,1238810
150,1517290
151,1361510
152,1913711
153,1843020
154,397540
155,1217060
156,16900
157,1147560
158,1250410
159,805550
160,686810
161,412020
162,1958170
163,1296610
164,457140
165,1608290
166,219990
167,1721470
168,1113410
169,787480
170,962130
171,1817490
172,1253920
173,440
174,848450
175,1150690
176,851850
177,1172380
178,236850
179,460930
180,393380
181,1235733
182,1703340
183,1445990
184,262060
185,1222700
186,311210
187,1113560
188,1656330
189,860510
190,107410
191,246900
192,568220
193,1151340
194,958260
195,208650
196,492720
197,393080
198,552520
199,594650
200,1290000
201,476600
202,349040
203,363150
204,364360
205,535930
206,815370
207,1577120
208,646910
209,947510
210,952060
211,1184370
212,453480
213,1889490
214,1238840
215,620980
216,270880
217,1088850
218,1794680
219,444200
220,1382330
221,8930
222,1739010
223,1029690
224,960090
225,1465360
226,1255630
227,1562700
228,1426300
229,632470
230,1030840
231,1832640
232,976730
233,933110
234,645402
235,493340
236,1498570
237,761890
238,1016920
239,1338770
240,244210
241,1277400
242,1972440
243,1084600
244,1328670
245,4000
246,1295510
247,1235721
248,1227890
249,794260
250,1235731
251,898750
252,1611910
253,1740720
254,1966010
255,1062090
256,1958173
257,1341200
258,1782170
259,310950
260,1594320
261,581320
262,1190000
263,1509960
264,269210
265,466560
266,638970
267,750920
268,527230
269,867210
270,1222680
271,427520
272,292730
273,1569190
274,1025960
275,221100
276,927380
277,1948280
278,1129580
279,433340
280,418370
281,678960
282,678950
283,268500
284,753640
285,620
286,883710
287,1332010
288,386940
289,440900
290,508440
291,1113000
292,233450
293,1209460
294,1410710
295,1817940
296,874260
297,1392840
298,1568590
299,553420
300,637650
301,8500
302,1977570
303,1458150
304,233860
305,1549180
306,1235734
307,1468720
308,775500
309,1238860
310,1210320
311,553280
312,1522090
313,653530
314,1966900
315,644930
316,1071870
317,1284190
318,1621310
319,1785250
320,1252330
321,780290
322,356190
323,431730
324,460950
325,1274570
326,1080550
327,365360
